NCP_cat;NCP;Rewilding_cat;rewilding;overall pos;counteracting_posneg;counteract_negpos;sum_counteracting;overall neg
regulating ;pollination;reduction_outputs;mining;0;0;0;0;0
regulating ;air_water_soil;reduction_outputs;mining;7;2;1;3;7
regulating ;climate ;reduction_outputs;mining;8;3;1;4;5
regulating ;hazards;reduction_outputs;mining;4;3;3;6;0
regulating ;invasives;reduction_outputs;mining;0;0;0;0;0
material ;food_provision;reduction_outputs;mining;5;5;4;9;4
material ;materials;reduction_outputs;mining;1;9;8;17;0
material ;water;reduction_outputs;mining;8;0;1;1;6
non_material_cultural;non-material;reduction_outputs;mining;8;2;1;3;7
good_life_quality;good_quality;reduction_outputs;mining;8;5;1;6;3
